instrument,commodity_label,asset_class,report_date,report_type,market_and_exchange_name,open_interest,producer_merchant_long,producer_merchant_short,producer_merchant_net,managed_money_long,managed_money_short,managed_money_net,managed_money_net_chg_1w,managed_money_net_pct_oi,producer_merchant_net_pct_oi,managed_money_net_percentile,commercial_long,commercial_short,commercial_net,noncommercial_long,noncommercial_short,noncommercial_net,legacy_noncommercial_net_percentile,source_id,raw_source_url,tos_status,gatekeeper_cleared,gatekeeper_id,cftc_contract_market_code,managed_money_spreading,swap_long,swap_short,other_reportable_long,other_reportable_short,nonreportable_long,nonreportable_short,source_mapping_status,source_mapping_note,normalized_at,producer_merchant_net_chg_1w,producer_merchant_net_percentile,managed_money_net_zscore,producer_merchant_net_zscore,commercial_net_pct_oi,noncommercial_net_pct_oi,noncommercial_spreading,noncommercial_net_chg_1w,commercial_net_chg_1w,legacy_commercial_net_percentile,legacy_noncommercial_net_zscore,legacy_commercial_net_zscore
ZW,SRW Wheat,GRAIN,2024-02-27,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,373389.0,43686.0,75295.0,-31609.0,85039.0,141005.0,-55966.0,15352.0,-0.14988657941181985,-0.08465434171869016,0.925,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,63631.0,81595.0,9230.0,38127.0,19142.0,28974.0,32749.0,STRICT,,2026-05-25T06:02:16+00:00,-9552.0,0.175,1.1479847939975245,-1.075878962424894,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-03-05,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,401311.0,50034.0,74289.0,-24255.0,88516.0,153349.0,-64833.0,-8867.0,-0.16155301000969324,-0.06043940983426819,0.7073170731707317,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,74431.0,80183.0,8756.0,41207.0,21162.0,30815.0,33199.0,STRICT,,2026-05-25T06:02:16+00:00,7354.0,0.2682926829268293,0.7580408907745592,-0.6643205989283253,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-03-12,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,396389.0,47968.0,57734.0,-9766.0,76316.0,154942.0,-78626.0,-13793.0,-0.19835565568166624,-0.024637414257206936,0.5,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,79971.0,74428.0,8882.0,44261.0,19404.0,31984.0,33995.0,STRICT,,2026-05-25T06:02:16+00:00,14489.0,0.6190476190476191,0.16949538402694783,0.12712083094494417,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-03-19,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,407696.0,51213.0,54743.0,-3530.0,79423.0,160625.0,-81202.0,-2576.0,-0.19917291315097524,-0.008658412150229583,0.46511627906976744,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,85924.0,69366.0,7941.0,40205.0,15063.0,32432.0,34267.0,STRICT,,2026-05-25T06:02:16+00:00,6236.0,0.6744186046511628,0.057970751562893864,0.46594867568361503,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-03-26,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,410277.0,51621.0,51333.0,288.0,77203.0,168766.0,-91563.0,-10361.0,-0.22317361197434904,0.0007019647701430984,0.36363636363636365,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,87695.0,69563.0,8167.0,41530.0,11689.0,32727.0,32689.0,STRICT,,2026-05-25T06:02:16+00:00,3818.0,0.75,-0.38819191639947587,0.6682905859522265,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-04-02,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,416265.0,48744.0,50126.0,-1382.0,79209.0,170225.0,-91016.0,547.0,-0.21864917780740634,-0.0033200004804631667,0.37777777777777777,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,88678.0,68919.0,7782.0,40185.0,9426.0,32581.0,32079.0,STRICT,,2026-05-25T06:02:16+00:00,-1670.0,0.6888888888888889,-0.359612577083909,0.565912757652714,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-04-09,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,398356.0,49389.0,63256.0,-13867.0,76928.0,162734.0,-85806.0,5210.0,-0.21540029521332676,-0.03481057144865397,0.43478260869565216,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,87168.0,73256.0,6265.0,42405.0,8996.0,31819.0,32546.0,STRICT,,2026-05-25T06:02:16+00:00,-12485.0,0.5,-0.12673621812450597,-0.14067836757998928,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-04-16,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,391304.0,50058.0,55534.0,-5476.0,75783.0,171340.0,-95557.0,-9751.0,-0.24420143929016827,-0.013994234661541921,0.3404255319148936,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,73935.0,73319.0,6257.0,42991.0,10331.0,31794.0,30483.0,STRICT,,2026-05-25T06:02:16+00:00,8391.0,0.6170212765957447,-0.5569586153485263,0.33653782883252287,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-04-23,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,375644.0,42499.0,62853.0,-20354.0,79084.0,154626.0,-75542.0,20015.0,-0.20109997763840232,-0.0541842808616669,0.5833333333333334,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,61813.0,73093.0,7500.0,44613.0,12462.0,30321.0,32169.0,STRICT,,2026-05-25T06:02:16+00:00,-14878.0,0.3125,0.34498250713628315,-0.5181224751140542,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-04-30,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,362572.0,43691.0,73392.0,-29701.0,78496.0,128125.0,-49629.0,25913.0,-0.13688039892766127,-0.08191752258861688,0.9795918367346939,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,67662.0,69704.0,7441.0,42393.0,17220.0,26535.0,34641.0,STRICT,,2026-05-25T06:02:16+00:00,-9347.0,0.16326530612244897,1.4781216400381962,-1.0407641466257214,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-05-07,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,369477.0,43305.0,79154.0,-35849.0,79301.0,123848.0,-44547.0,5082.0,-0.12056772140079085,-0.09702633722802773,0.98,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,67515.0,70250.0,7396.0,43385.0,16623.0,25281.0,34501.0,STRICT,,2026-05-25T06:02:16+00:00,-6148.0,0.12,1.642312729610977,-1.3585199825475345,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-05-14,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,394780.0,43955.0,98425.0,-54470.0,85692.0,115653.0,-29961.0,14586.0,-0.07589290237600689,-0.13797558133644056,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,71551.0,75060.0,6431.0,46792.0,22246.0,28160.0,36904.0,STRICT,,2026-05-25T06:02:16+00:00,-18621.0,0.0196078431372549,2.1557468793637455,-2.279239121369005,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-05-21,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,405252.0,40430.0,93137.0,-52707.0,85866.0,112555.0,-26689.0,3272.0,-0.06585778725336335,-0.13005981463385746,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,79143.0,79626.0,7186.0,44648.0,30481.0,30743.0,37954.0,STRICT,,2026-05-25T06:02:16+00:00,1763.0,0.038461538461538464,2.164156213247351,-2.066950994026558,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-05-28,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,427563.0,48708.0,100226.0,-51518.0,80907.0,112329.0,-31422.0,-4733.0,-0.07349092414451204,-0.120492184777448,0.9622641509433962,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,80866.0,81007.0,8281.0,46678.0,29649.0,32381.0,39196.0,STRICT,,2026-05-25T06:02:16+00:00,1189.0,0.05660377358490566,1.883179016368452,-1.9124958927624867,,,,,,,,
ZW,SRW Wheat,GRAIN,2024-06-04,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,434569.0,59028.0,103020.0,-43992.0,76557.0,112757.0,-36200.0,-4778.0,-0.08330092574481843,-0.10123133495486332,0.9444444444444444,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,80265.0,76836.0,7299.0,45341.0,27262.0,32453.0,39877.0,STRICT,,2026-05-25T06:02:16+00:00,7526.0,0.07407407407407407,1.63377626311942,-1.476516149428954,,,,,,,,
